group,b,N,batch,factor_idx,log_n,time_ms
single_factor,2,1024,2,1,9,0.12803071975708008
single_factor,2,1024,2,2,9,0.12750847816467284
single_factor,2,1024,2,3,9,0.12793855667114257
single_factor,2,1024,2,4,9,0.12778495788574218
single_factor,2,1024,2,5,9,0.1275596809387207
single_factor,2,1024,2,6,9,0.12768256187438964
single_factor,2,1024,2,7,9,0.12717056274414062
single_factor,2,1024,2,8,9,0.12731391906738282
single_factor,2,1024,4,0,9,0.10656767845153808
single_factor,2,1024,4,1,9,0.1278771209716797
single_factor,2,1024,4,2,9,0.1285529613494873
single_factor,2,1024,4,3,9,0.12793855667114257
single_factor,2,1024,4,4,9,0.1283891201019287
single_factor,2,1024,4,5,9,0.12940287590026855
single_factor,2,1024,4,6,9,0.12881919860839844
single_factor,2,1024,4,7,9,0.12899328231811524
single_factor,2,1024,4,8,9,0.12793855667114257
single_factor,2,1024,8,0,9,0.10726400375366212
single_factor,2,1024,8,1,9,0.12896256446838378
single_factor,2,1024,8,2,9,0.12820480346679688
single_factor,2,1024,8,3,9,0.128788480758667
single_factor,2,1024,8,4,9,0.1284607982635498
single_factor,2,1024,8,5,9,0.12860416412353515
single_factor,2,1024,8,6,9,0.12882944107055663
single_factor,2,1024,8,7,9,0.1283891201019287
single_factor,2,1024,8,8,9,0.1284505558013916
single_factor,2,1024,16,0,9,0.10720255851745605
single_factor,2,1024,16,1,9,0.12891136169433592
single_factor,2,1024,16,2,9,0.12798975944519042
single_factor,2,1024,16,3,9,0.12783616065979003
single_factor,2,1024,16,4,9,0.12919808387756349
single_factor,2,1024,16,5,9,0.12983296394348146
single_factor,2,1024,16,6,9,0.12857343673706054
single_factor,2,1024,16,7,9,0.1279487991333008
single_factor,2,1024,16,8,9,0.12818431854248047
single_factor,2,1024,32,0,9,0.10575872421264648
single_factor,2,1024,32,1,9,0.12820480346679688
single_factor,2,1024,32,2,9,0.1288601589202881
single_factor,2,1024,32,3,9,0.12868608474731447
single_factor,2,1024,32,4,9,0.12866559982299805
single_factor,2,1024,32,5,9,0.12809215545654296
single_factor,2,1024,32,6,9,0.12837887763977052
