group,b,c,M,N,a,d,batch_size,triton_ms,bmm_ms,cuda_ms,cuda_error
group1,2,2,1024,1024,8,64,4,0.100749,0.130072,,
group1,2,2,1024,1024,8,64,8,0.100967,0.129819,,
group1,2,2,1024,1024,8,64,16,0.101225,0.130328,,
group1,2,2,1024,1024,8,64,32,0.101138,0.129813,,
group1,2,2,1024,1024,8,64,64,0.100868,0.129866,,
group1,2,2,1024,1024,8,64,128,0.101012,0.129742,,
group1,2,2,1024,1024,8,64,256,0.101384,0.129901,,
group1,2,2,1024,1024,8,64,512,0.101619,0.130197,,
group1,2,2,1024,1024,8,64,1024,0.101975,0.129941,,
group1,2,2,1024,1024,8,64,2048,0.102296,0.130435,,
group1,2,2,1024,1024,8,64,4096,0.158732,0.193269,,
group1,2,2,1024,1024,16,32,2,0.100896,0.129360,,
group1,2,2,1024,1024,16,32,4,0.100932,0.130112,,
group1,2,2,1024,1024,16,32,8,0.101339,0.130277,,
group1,2,2,1024,1024,16,32,16,0.101455,0.130374,,
group1,2,2,1024,1024,16,32,32,0.101403,0.130023,,
group1,2,2,1024,1024,16,32,64,0.101714,0.129637,,
group1,2,2,1024,1024,16,32,128,0.101036,0.129638,,
group1,2,2,1024,1024,16,32,256,0.101761,0.129870,,
group1,2,2,1024,1024,16,32,512,0.102028,0.130047,,
group1,2,2,1024,1024,16,32,1024,0.102305,0.130051,,
group1,2,2,1024,1024,16,32,2048,0.102714,0.130632,,
group1,2,2,1024,1024,16,32,4096,0.158727,0.193074,,
group1,2,2,1024,1024,32,16,2,0.100696,0.129334,,
group1,2,2,1024,1024,32,16,4,0.100800,0.129585,,
group1,2,2,1024,1024,32,16,8,0.101337,0.130274,,
group1,2,2,1024,1024,32,16,16,0.101022,0.130081,,
group1,2,2,1024,1024,32,16,32,0.101377,0.129246,,
group1,2,2,1024,1024,32,16,64,0.101406,0.129492,,
group1,2,2,1024,1024,32,16,128,0.100818,0.129396,,
group1,2,2,1024,1024,32,16,256,0.100815,0.129553,,
group1,2,2,1024,1024,32,16,512,0.101191,0.129440,,
group1,2,2,1024,1024,32,16,1024,0.101537,0.129770,,
group1,2,2,1024,1024,32,16,2048,0.102436,0.130076,,
group1,2,2,1024,1024,32,16,4096,0.158709,0.193478,,
group1,2,2,1024,1024,64,8,2,0.100119,0.129106,,
group1,2,2,1024,1024,64,8,4,0.100570,0.129621,,
group1,2,2,1024,1024,64,8,8,0.100541,0.129740,,
group1,2,2,1024,1024,64,8,16,0.100818,0.129729,,
group1,2,2,1024,1024,64,8,32,0.101022,0.129381,,
group1,2,2,1024,1024,64,8,64,0.101351,0.129450,,
group1,2,2,1024,1024,64,8,128,0.100999,0.129280,,
group1,2,2,1024,1024,64,8,256,0.101183,0.129209,,
group1,2,2,1024,1024,64,8,512,0.101272,0.129272,,
group1,2,2,1024,1024,64,8,1024,0.101915,0.129915,,
group1,2,2,1024,1024,64,8,2048,0.102099,0.130885,,
group1,2,2,1024,1024,64,8,4096,0.158520,0.193459,,
group1,2,2,1024,1024,128,4,2,0.100329,0.129604,,
group1,2,2,1024,1024,128,4,4,0.100476,0.129413,,
group1,2,2,1024,1024,128,4,8,0.101421,0.129543,,
group1,2,2,1024,1024,128,4,16,0.101070,0.129497,,
group1,2,2,1024,1024,128,4,32,0.101155,0.129059,,
group1,2,2,1024,1024,128,4,64,0.101121,0.129433,,
group1,2,2,1024,1024,128,4,128,0.100643,0.129347,,
group1,2,2,1024,1024,128,4,256,0.101015,0.128898,,
group1,2,2,1024,1024,128,4,512,0.101645,0.129727,,
group1,2,2,1024,1024,128,4,1024,0.101586,0.130337,,
group1,2,2,1024,1024,128,4,2048,0.102563,0.130309,,
group1,2,2,1024,1024,128,4,4096,0.158491,0.193436,,
group1,2,2,1024,1024,256,2,2,0.100684,0.128958,,
group1,2,2,1024,1024,256,2,4,0.100971,0.129823,,
group1,2,2,1024,1024,256,2,8,0.101104,0.130018,,
group1,2,2,1024,1024,256,2,16,0.101351,0.129910,,
group1,2,2,1024,1024,256,2,32,0.101276,0.130710,,
group1,2,2,1024,1024,256,2,64,0.101678,0.130394,,
group1,2,2,1024,1024,256,2,128,0.101286,0.130195,,
group1,2,2,1024,1024,256,2,256,0.101655,0.130253,,
group1,2,2,1024,1024,256,2,512,0.102281,0.129762,,
group1,2,2,1024,1024,256,2,1024,0.102642,0.130197,,
group1,2,2,1024,1024,256,2,2048,0.102964,0.131295,,
group1,2,2,1024,1024,256,2,4096,0.158685,0.193437,,
group1,2,2,1024,1024,512,1,2,0.101402,0.087339,,
group1,2,2,1024,1024,512,1,4,0.101479,0.086959,,
group1,2,2,1024,1024,512,1,8,0.101579,0.087008,,
group1,2,2,1024,1024,512,1,16,0.101119,0.086779,,
group1,2,2,1024,1024,512,1,32,0.101535,0.087388,,
group1,2,2,1024,1024,512,1,64,0.100953,0.087491,,
group1,2,2,1024,1024,512,1,128,0.101608,0.087212,,
group1,2,2,1024,1024,512,1,256,0.101358,0.087301,,
group1,2,2,1024,1024,512,1,512,0.101594,0.086981,,
group1,2,2,1024,1024,512,1,1024,0.101969,0.086960,,
group1,2,2,1024,1024,512,1,2048,0.102624,0.087502,,
group1,2,2,1024,1024,512,1,4096,0.156905,0.152712,,
group1,2,2,2048,2048,1,1024,2,0.100273,0.133338,,
group1,2,2,2048,2048,1,1024,4,0.101086,0.133981,,
group1,2,2,2048,2048,1,1024,8,0.101157,0.133562,,
group1,2,2,2048,2048,1,1024,16,0.101473,0.133774,,
group1,2,2,2048,2048,1,1024,32,0.101181,0.133747,,
group1,2,2,2048,2048,1,1024,64,0.101384,0.134419,,
group1,2,2,2048,2048,1,1024,128,0.101121,0.133724,,
group1,2,2,2048,2048,1,1024,256,0.100949,0.133684,,
group1,2,2,2048,2048,1,1024,512,0.101968,0.134470,,
group1,2,2,2048,2048,1,1024,1024,0.102373,0.135122,,
group1,2,2,2048,2048,1,1024,2048,0.159351,0.193664,,
group1,2,2,2048,2048,1,1024,4096,0.310082,0.383778,,
group1,2,2,2048,2048,2,512,2,0.100795,0.129304,,
group1,2,2,2048,2048,2,512,4,0.100637,0.129785,,
group1,2,2,2048,2048,2,512,8,0.101146,0.129396,,
group1,2,2,2048,2048,2,512,16,0.101308,0.129559,,
group1,2,2,2048,2048,2,512,32,0.101467,0.129634,,
group1,2,2,2048,2048,2,512,64,0.101535,0.129641,,
group1,2,2,2048,2048,2,512,128,0.100987,0.129538,,
group1,2,2,2048,2048,2,512,256,0.101186,0.129896,,
group1,2,2,2048,2048,2,512,512,0.102338,0.130201,,
group1,2,2,2048,2048,2,512,1024,0.102351,0.130993,,
group1,2,2,2048,2048,2,512,2048,0.159271,0.193503,,
group1,2,2,2048,2048,2,512,4096,0.310058,0.383639,,
group1,2,2,2048,2048,4,256,2,0.100378,0.129118,,
group1,2,2,2048,2048,4,256,4,0.100981,0.129465,,
group1,2,2,2048,2048,4,256,8,0.101051,0.130241,,
group1,2,2,2048,2048,4,256,16,0.101544,0.130150,,
group1,2,2,2048,2048,4,256,32,0.101325,0.129889,,
group1,2,2,2048,2048,4,256,64,0.101437,0.130577,,
group1,2,2,2048,2048,4,256,128,0.101738,0.129922,,
group1,2,2,2048,2048,4,256,256,0.101124,0.129667,,
group1,2,2,2048,2048,4,256,512,0.102255,0.130117,,
group1,2,2,2048,2048,4,256,1024,0.102448,0.131105,,
group1,2,2,2048,2048,4,256,2048,0.159265,0.191984,,
group1,2,2,2048,2048,4,256,4096,0.310077,0.376662,,
group1,2,2,2048,2048,8,128,2,0.100722,0.129771,,
group1,2,2,2048,2048,8,128,4,0.100548,0.130267,,
group1,2,2,2048,2048,8,128,8,0.100474,0.130058,,
group1,2,2,2048,2048,8,128,16,0.100671,0.130153,,
group1,2,2,2048,2048,8,128,32,0.100638,0.129746,,
group1,2,2,2048,2048,8,128,64,0.101290,0.130541,,
group1,2,2,2048,2048,8,128,128,0.100283,0.129712,,
group1,2,2,2048,2048,8,128,256,0.101393,0.130098,,
group1,2,2,2048,2048,8,128,512,0.101507,0.130208,,
group1,2,2,2048,2048,8,128,1024,0.101997,0.131128,,
group1,2,2,2048,2048,8,128,2048,0.159246,0.191947,,
group1,2,2,2048,2048,8,128,4096,0.310072,0.375986,,
group1,2,2,2048,2048,16,64,2,0.100293,0.129510,,
group1,2,2,2048,2048,16,64,4,0.100806,0.130437,,
group1,2,2,2048,2048,16,64,8,0.100693,0.129820,,
group1,2,2,2048,2048,16,64,16,0.101034,0.130513,,
group1,2,2,2048,2048,16,64,32,0.100982,0.129910,,
group1,2,2,2048,2048,16,64,64,0.100974,0.130646,,
group1,2,2,2048,2048,16,64,128,0.101267,0.130316,,
group1,2,2,2048,2048,16,64,256,0.100814,0.129330,,
group1,2,2,2048,2048,16,64,512,0.101995,0.129751,,
group1,2,2,2048,2048,16,64,1024,0.102753,0.130814,,
group1,2,2,2048,2048,16,64,2048,0.159231,0.193115,,
group1,2,2,2048,2048,16,64,4096,0.310121,0.382889,,
group1,2,2,2048,2048,32,32,2,0.100616,0.129328,,
group1,2,2,2048,2048,32,32,4,0.101291,0.129835,,
group1,2,2,2048,2048,32,32,8,0.101506,0.129703,,
group1,2,2,2048,2048,32,32,16,0.101297,0.129586,,
group1,2,2,2048,2048,32,32,32,0.100521,0.130018,,
group1,2,2,2048,2048,32,32,64,0.100996,0.129966,,
group1,2,2,2048,2048,32,32,128,0.100887,0.129721,,
group1,2,2,2048,2048,32,32,256,0.101006,0.129318,,
group1,2,2,2048,2048,32,32,512,0.101625,0.129730,,
group1,2,2,2048,2048,32,32,1024,0.102296,0.130612,,
group1,2,2,2048,2048,32,32,2048,0.159266,0.193095,,
group1,2,2,2048,2048,32,32,4096,0.310070,0.382794,,
group1,2,2,2048,2048,64,16,2,0.100105,0.130092,,
group1,2,2,2048,2048,64,16,4,0.100176,0.129492,,
group1,2,2,2048,2048,64,16,8,0.100591,0.129450,,
group1,2,2,2048,2048,64,16,16,0.100905,0.129355,,
group1,2,2,2048,2048,64,16,32,0.100916,0.130052,,
group1,2,2,2048,2048,64,16,64,0.100897,0.129561,,
group1,2,2,2048,2048,64,16,128,0.101230,0.129730,,
group1,2,2,2048,2048,64,16,256,0.101344,0.129933,,
group1,2,2,2048,2048,64,16,512,0.101779,0.130530,,
group1,2,2,2048,2048,64,16,1024,0.102109,0.130890,,
group1,2,2,2048,2048,64,16,2048,0.159246,0.193409,,
group1,2,2,2048,2048,64,16,4096,0.310048,0.383934,,
group1,2,2,2048,2048,128,8,2,0.100380,0.129050,,
group1,2,2,2048,2048,128,8,4,0.100450,0.129896,,
group1,2,2,2048,2048,128,8,8,0.100584,0.129724,,
group1,2,2,2048,2048,128,8,16,0.100896,0.129772,,
group1,2,2,2048,2048,128,8,32,0.101157,0.129768,,
group1,2,2,2048,2048,128,8,64,0.101081,0.130116,,
group1,2,2,2048,2048,128,8,128,0.101915,0.130058,,
group1,2,2,2048,2048,128,8,256,0.101051,0.129595,,
group1,2,2,2048,2048,128,8,512,0.102202,0.129602,,
group1,2,2,2048,2048,128,8,1024,0.102637,0.130247,,
group1,2,2,2048,2048,128,8,2048,0.159230,0.193409,,
group1,2,2,2048,2048,128,8,4096,0.310075,0.384090,,
group1,2,2,2048,2048,256,4,2,0.101550,0.129226,,
group1,2,2,2048,2048,256,4,4,0.101054,0.129681,,
group1,2,2,2048,2048,256,4,8,0.101514,0.129837,,
group1,2,2,2048,2048,256,4,16,0.101552,0.129817,,
group1,2,2,2048,2048,256,4,32,0.101431,0.129872,,
group1,2,2,2048,2048,256,4,64,0.101678,0.130226,,
group1,2,2,2048,2048,256,4,128,0.101539,0.129516,,
group1,2,2,2048,2048,256,4,256,0.101277,0.129820,,
group1,2,2,2048,2048,256,4,512,0.102449,0.129819,,
group1,2,2,2048,2048,256,4,1024,0.102325,0.130625,,
group1,2,2,2048,2048,256,4,2048,0.159265,0.193416,,
group1,2,2,2048,2048,256,4,4096,0.310054,0.384103,,
group1,2,2,2048,2048,512,2,2,0.100890,0.129710,,
group1,2,2,2048,2048,512,2,4,0.100805,0.129495,,
group1,2,2,2048,2048,512,2,8,0.101377,0.129561,,
group1,2,2,2048,2048,512,2,16,0.101488,0.129496,,
group1,2,2,2048,2048,512,2,32,0.101684,0.130104,,
group1,2,2,2048,2048,512,2,64,0.101346,0.129997,,
group1,2,2,2048,2048,512,2,128,0.100875,0.129899,,
