,patterns,batch-size,algo,mean,median,iqr,times,bs_position,precision,device_name
17353,"[[24, 768, 192, 4]]",25088,bmm,0.0572251676348969,0.057365582906641,0.00055780808907,"[0.056522245053201914, 0.057449111016467214, 0.05743747181259096, 0.05691784294322133, 0.05742875300347805, 0.05730241280980408, 0.05681359791196883, 0.05674593895673752, 0.05693012708798051, 0.05745102604851127, 0.05797493504360318, 0.05772854993119836]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17354,"[[24, 768, 768, 4]]",25088,bmm,0.1877655460372228,0.1877865691203624,0.0012906596530228,"[0.18656444689258933, 0.18857024610042572, 0.18776028021238744, 0.18862023996189237, 0.18657047115266323, 0.18727753194980323, 0.18869202816858888, 0.1871544208843261, 0.18798174592666328, 0.1877865691203624, 0.18844302603974938]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17355,"[[32, 48, 48, 4]]",25088,bmm,0.0046159506798721,0.0046159506798721,0.0,[0.004615950679872185],bs_first,fp32,NVIDIA_A100-PCIE-40GB
17356,"[[32, 48, 48, 16]]",25088,bmm,0.0183051572064869,0.0183051572064869,3.273299662396104e-05,"[0.01827242420986295, 0.018337890203110874]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17357,"[[32, 48, 192, 4]]",25088,bmm,0.0137727583991363,0.0137727583991363,1.2118392623963054e-05,"[0.013760640006512403, 0.013784876791760325]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17358,"[[32, 64, 64, 4]]",25088,bmm,0.00576666474808,0.00576666474808,3.546476364142681e-07,"[0.005767019395716488, 0.005766310100443661]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17359,"[[32, 64, 64, 16]]",25088,bmm,0.0236635190434753,0.0236635190434753,7.31167383491993e-05,"[0.02359040230512619, 0.02373663578182459]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17360,"[[32, 96, 96, 4]]",25088,bmm,0.0087069867993704,0.0087069867993704,1.3421871699389326e-06,"[0.008708328986540437, 0.008705644612200558]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17361,"[[32, 96, 96, 16]]",25088,bmm,0.0358732258901,0.0358732258901,0.0001188698923215,"[0.03599209578242153, 0.03575435599777847]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17362,"[[32, 96, 384, 4]]",25088,bmm,0.0282475534477271,0.0282475534477271,8.121054852381487e-05,"[0.0281663428992033, 0.02832876399625093]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17363,"[[32, 128, 128, 4]]",25088,bmm,0.0115238315542228,0.0115238315542228,2.653046976774931e-06,"[0.011521178507246077, 0.011526484601199627]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17364,"[[32, 128, 128, 16]]",25088,bmm,0.0489679560996592,0.0489679560996592,2.5419890880590268e-05,"[0.04894253620877862, 0.04899337599053979]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17365,"[[32, 192, 48, 4]]",25088,bmm,0.0101582936476916,0.0101582936476916,4.923436790690849e-07,"[0.010158785991370678, 0.010157801304012537]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17366,"[[32, 192, 192, 4]]",25088,bmm,0.0260642713983543,0.0260642713983543,3.753289347514788e-05,"[0.026101804291829466, 0.026026738504879177]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17367,"[[32, 256, 256, 4]]",25088,bmm,0.0355596759007312,0.0355596759007312,6.249289726838886e-05,"[0.03549718300346285, 0.03562216879799962]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17368,"[[32, 384, 96, 4]]",25088,bmm,0.0249921863549388,0.0249921863549388,0.0003250586451031,"[0.024667127709835767, 0.02531724500004202]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17369,"[[32, 384, 384, 4]]",25088,bmm,0.0711788124366042,0.0712304104818031,0.0005452974000945,"[0.06994274188764393, 0.07105347001925111, 0.07103310502134264, 0.07158200396224856, 0.070764898089692, 0.07160883699543774, 0.07169203995727003, 0.07121196785010397, 0.07104057213291526, 0.07137726107612252, 0.07124885311350226, 0.071589999133721]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17370,"[[32, 512, 512, 4]]",25088,bmm,0.1192282086315875,0.1191614844137802,0.0008825970580801,"[0.11904036882333457, 0.11859869793988764, 0.118541169911623, 0.11901345709338784, 0.11977289500646293, 0.11928260000422597, 0.12005732790566981, 0.11960978503338993, 0.12000074493698776, 0.1192884249612689, 0.11876941495575011, 0.11876361700706184]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17371,"[[48, 48, 48, 4]]",25088,bmm,0.0067592205479741,0.0067592205479741,2.0993407815689605e-06,"[0.006761319888755679, 0.0067571212071925405]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17372,"[[48, 48, 48, 16]]",25088,bmm,0.0275602448149584,0.0275602448149584,0.0002483504009433,"[0.027311894414015114, 0.027808595215901732]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17373,"[[48, 48, 192, 4]]",25088,bmm,0.0207259581540711,0.0207259581540711,3.168164985254199e-05,"[0.020757639803923665, 0.020694276504218578]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17374,"[[48, 64, 64, 4]]",25088,bmm,0.0086864362470805,0.0086864362470805,1.4115590602180317e-06,"[0.008685024688020349, 0.008687847806140781]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
