epoch,train_loss,val_loss,rank
1,0.9685727460384369,0.9650445627787757,8
2,0.9684117946624756,0.9646121859550476,8
3,0.9684025413990021,0.9650754502841404,8
4,0.9684004480838776,0.9651165566747151,8
5,0.9684011967182159,0.9644019196903895,8
6,0.9683932693004608,0.9647992007316105,8
7,0.9684016811847687,0.964927837962196,8
8,0.9683991067409515,0.9646268855957758,8
9,0.9683990125656128,0.9650209186569093,8
10,0.9683969559669494,0.9650606683322361,8
11,0.9683992626667023,0.9649030178312271,8
12,0.9684006352424621,0.9649063244698539,8
13,0.9684019329547882,0.9648952947722541,8
14,0.9684013502597809,0.9649314918215313,8
15,0.9684013791084289,0.9648871762411935,8
16,0.9684040005207062,0.964779137618958,8
17,0.9683442676067352,0.9654553296074034,8
18,0.9683389017581939,0.9650161956983899,8
19,0.9683391568660736,0.9649252579325721,8
20,0.968337373495102,0.9648585082992674,8
21,0.9683374931812286,0.9650919796928527,8
22,0.9683355357646942,0.9646455200891646,8
23,0.9683410608768463,0.9653577558578007,8
24,0.9683374359607696,0.9649104986871991,8
25,0.9683368170261383,0.9652772167372325,8
26,0.9683394899368286,0.9651752152140178,8
27,0.9295636088848114,0.9196048246489631,8
28,0.9203160831928253,0.9196904254338097,8
29,0.9202359805107116,0.919558218547276,8
30,0.9202058272361755,0.9194796123201885,8
31,0.92018479347229,0.9196319731455,8
32,0.9201756143569946,0.9196469793244014,8
33,0.9201700994968415,0.9194565018018087,8
34,0.920147677898407,0.9193976540414114,8
35,0.9201571989059448,0.9194999062825763,8
36,0.9201505546569824,0.9197529753049215,8
37,0.9201442527770997,0.919737372133467,8
38,0.9201436915397644,0.9197417819310748,8
39,0.9201588308811188,0.9194275046151782,8
40,0.9201599936485291,0.9196763909052289,8
41,0.9201587274074554,0.9196511374579536,8
42,0.920029521226883,0.9194263021151224,8
43,0.9200151281356812,0.9196132156583998,8
44,0.9200159440040588,0.9194254988715762,8
45,0.920011278629303,0.9195843736330668,8
46,0.9200131783485412,0.9194246918436081,8
47,0.916526814699173,0.9008346058073498,8
48,0.8967214872837067,0.8961324351174491,8
49,0.8957044577598572,0.8956504066785177,8
50,0.8955759592056275,0.8954365764345441,8
51,0.8881510500907898,0.883859722387223,8
52,0.8815439751148224,0.8804079161749946,8
53,0.8803321354389191,0.8799393810923137,8
54,0.8801909551620484,0.8799145600152394,8
55,0.8801349949836731,0.8797333287814307,8
56,0.8797521240711212,0.8756019662296961,8
57,0.8717918400764465,0.870845445564815,8
58,0.8700049352645874,0.869795044263204,8
59,0.8693556780815125,0.8693736876760211,8
60,0.8691337401866913,0.8691048773508223,8
61,0.8690324795246124,0.8689981207015023,8
62,0.868983062505722,0.8690530042799692,8
63,0.8689550850391388,0.8691360373345632,8
64,0.868934473991394,0.8691579018320356,8
65,0.8689300367832183,0.8691088131495884,8
66,0.868907110452652,0.8691037609463647,8
67,0.8688967411518097,0.8692168688017224,8
68,0.8689014968872071,0.8690087587114365,8
69,0.8688887450695038,0.868994016495962,8
70,0.8688804743289947,0.8691335197479005,8
71,0.8688760659694672,0.8694006109994555,8
72,0.8688745124340057,0.8691759270335001,8
73,0.8686201133728028,0.8689085595191471,8
74,0.8686026568412781,0.8694266762052264,8
75,0.8686089386940002,0.8691865877499656,8
76,0.8686017527580261,0.8688779567915296,8
77,0.8685987029075622,0.8691049852068462,8
78,0.8686030631065369,0.8688617935256352,8
79,0.8686080751419067,0.8690147598584493,8
80,0.8686051723957062,0.8689559518344818,8
81,0.8686090683937073,0.86931844552358,8
82,0.8686060547828675,0.8691870626949129,8
83,0.8686033065319061,0.8687945500252738,8
84,0.868606876373291,0.8688547166567,8
85,0.8686043584346771,0.8688116575044299,8
86,0.8686016159057617,0.8691513774886964,8
87,0.8686027863025665,0.8688873563494001,8
88,0.8686042983531952,0.8687615299981738,8
89,0.8686030673980712,0.8690637983973064,8
90,0.8686019814014435,0.8690163474234324,8
91,0.8685986843109131,0.8690338409136212,8
92,0.8685960686206817,0.869172129366133,8
93,0.8685769543647767,0.8689774028838627,8
94,0.8659508426189423,0.8618397504564316,8
95,0.8602909753322602,0.8604466300162058,8
96,0.8598307247161865,0.8604128881106301,8
97,0.859693030834198,0.8603250478941297,8
98,0.8596203942298889,0.8603923869511437,8
99,0.859566148519516,0.8602328082871815,8
100,0.859527560710907,0.8601144249477084,8
