patterns,batch-size,algo,mean,median,iqr,times,bs_position,precision,device_name
"[[1, 96, 96, 12]]",25088,dense,0.00036302,0.00036302,0,[0.00036301983520388605],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 96, 16]]",25088,dense,0.000712577,0.000712577,0,[0.000712576899677515],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 96, 24]]",25088,dense,0.001446242,0.001446242,0,[0.0014462422579526902],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 96, 32]]",25088,dense,0.002480982,0.002480982,0,[0.002480981554836035],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 96, 48]]",25088,dense,0.005121892,0.005121892,1.14E-06,"[0.005123035423457623, 0.005120748095214367]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 96, 64]]",25088,dense,0.008982727,0.008982727,3.54E-05,"[0.008947297371923924, 0.009018157236278057]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 96, 96]]",25088,dense,0.020126829,0.020126829,3.11E-06,"[0.02012371551245451, 0.020129943266510963]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 96, 128]]",25088,dense,0.037031284,0.037031284,5.90E-05,"[0.03709023892879486, 0.03697232957929373]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 384, 2]]",25088,dense,6.20E-05,6.20E-05,0,[6.201647222042083e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 384, 3]]",25088,dense,0.000112869,0.000112869,0,[0.00011286886408925057],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 384, 4]]",25088,dense,0.000185767,0.000185767,0,[0.0001857673190534115],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 384, 6]]",25088,dense,0.000386933,0.000386933,0,[0.00038693292066454887],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 384, 8]]",25088,dense,0.000628993,0.000628993,0,[0.0006289932876825333],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 384, 12]]",25088,dense,0.001906442,0.001906442,0,[0.0019064415246248245],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 384, 16]]",25088,dense,0.002246034,0.002246034,0,[0.0022460337728261947],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 384, 24]]",25088,dense,0.005879132,0.005879132,0,[0.0058791317231953145],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 384, 32]]",25088,dense,0.00908013,0.00908013,4.48E-05,"[0.009035367332398892, 0.009124892391264438]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 384, 48]]",25088,dense,0.020335087,0.020335087,0.000151675,"[0.020486762560904027, 0.020183412171900273]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 384, 64]]",25088,dense,0.037308243,0.037308243,0.000676081,"[0.0379843233153224, 0.036632162146270277]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 384, 96]]",25088,dense,0.084437566,0.083683256,0.003888036,"[0.08632970787584782, 0.081308763474226, 0.08100146241486073, 0.0809898879379034, 0.08368325605988503, 0.09684348478913307, 0.08131114393472672, 0.08245162665843964, 0.08524953946471214, 0.08449791744351387, 0.08514644019305706]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 96, 384, 128]]",25088,dense,0.17291663,0.168670146,0.005978448,"[0.16749905981123447, 0.19495894201099873, 0.16814153641462326, 0.1684474665671587, 0.16750792413949966, 0.1675392035394907, 0.17662638425827026, 0.18288950994610786, 0.17101125232875347, 0.16879150457680225, 0.16867014579474926]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 128, 2]]",25088,dense,4.33E-05,4.33E-05,0,[4.332689568400383e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 128, 3]]",25088,dense,5.42E-05,5.42E-05,0,[5.417803302407265e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 128, 4]]",25088,dense,8.08E-05,8.08E-05,0,[8.075926452875138e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 128, 6]]",25088,dense,0.000162676,0.000162676,0,[0.00016267560422420502],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 128, 8]]",25088,dense,0.000281751,0.000281751,0,[0.0002817513234913349],bs_first,fp16,NVIDIA_A100-PCIE-40GB
