patterns,batch-size,algo,mean,median,iqr,times,bs_position,precision,device_name
"[[1, 512, 128, 12]]",25088,kernel,0.00174247,0.00174247,0,[0.0017424699105322362],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 512, 128, 16]]",25088,kernel,0.002311205,0.002311205,0,[0.002311205230653286],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 512, 128, 24]]",25088,kernel,0.003462477,0.003462477,0,[0.003462477158755064],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 512, 128, 32]]",25088,kernel,0.006505972,0.006505972,7.18E-06,"[0.0064987968653440475, 0.0065131478011608126]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 512, 128, 48]]",25088,kernel,0.006915028,0.006915028,1.02E-05,"[0.006904853880405426, 0.006925201788544655]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 512, 128, 64]]",25088,kernel,0.009194843,0.009194843,1.86E-06,"[0.009192979522049427, 0.009196707047522068]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 512, 128, 96]]",25088,kernel,0.014155124,0.014155124,1.65E-05,"[0.014138581417500972, 0.014171666838228703]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 512, 128, 128]]",25088,kernel,0.019226266,0.019226266,3.92E-05,"[0.01918706241995096, 0.019265470467507838]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 512, 512, 2]]",25088,kernel,0.00099089,0.00099089,0,[0.0009908903948962688],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 512, 512, 3]]",25088,kernel,0.001367604,0.001367604,0,[0.0013676038570702076],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 512, 512, 4]]",25088,kernel,0.001809786,0.001809786,0,[0.0018097857572138309],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 512, 512, 6]]",25088,kernel,0.00275859,0.00275859,0,[0.0027585899271070956],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 512, 512, 8]]",25088,kernel,0.004266395,0.004266395,0,[0.004266395047307014],bs_last,fp16,NVIDIA_A100-PCIE-40GB
