group,N,n,batch_size,stage,a,b,c,d,stage_triton_ms,stage_bmm_ms,total_chain_triton_ms,total_chain_bmm_ms
group2,4096,12,32,6,32,2,2,64,0.084005,0.099233,,
group2,4096,12,32,7,16,2,2,128,0.083941,0.099609,,
group2,4096,12,32,8,8,2,2,256,0.084212,0.099333,,
group2,4096,12,32,9,4,2,2,512,0.084139,0.099364,,
group2,4096,12,32,10,2,2,2,1024,0.083774,0.099006,,
group2,4096,12,32,11,1,2,2,2048,0.083953,0.102505,,
group2,4096,12,64,0,2048,2,2,1,0.084385,0.062698,1.053816,1.211566
group2,4096,12,64,1,1024,2,2,2,0.084707,0.098960,,
group2,4096,12,64,2,512,2,2,4,0.084655,0.099885,,
group2,4096,12,64,3,256,2,2,8,0.084266,0.098976,,
group2,4096,12,64,4,128,2,2,16,0.084134,0.099934,,
group2,4096,12,64,5,64,2,2,32,0.084209,0.098954,,
group2,4096,12,64,6,32,2,2,64,0.084161,0.099939,,
group2,4096,12,64,7,16,2,2,128,0.084368,0.099042,,
group2,4096,12,64,8,8,2,2,256,0.084187,0.099972,,
group2,4096,12,64,9,4,2,2,512,0.084157,0.099121,,
group2,4096,12,64,10,2,2,2,1024,0.084251,0.099790,,
group2,4096,12,64,11,1,2,2,2048,0.084034,0.102110,,
group2,4096,12,128,0,2048,2,2,1,0.083758,0.063249,1.050419,1.205770
group2,4096,12,128,1,1024,2,2,2,0.084048,0.100359,,
group2,4096,12,128,2,512,2,2,4,0.084116,0.099809,,
group2,4096,12,128,3,256,2,2,8,0.083823,0.099646,,
group2,4096,12,128,4,128,2,2,16,0.083564,0.100129,,
group2,4096,12,128,5,64,2,2,32,0.083723,0.099220,,
group2,4096,12,128,6,32,2,2,64,0.083730,0.099975,,
group2,4096,12,128,7,16,2,2,128,0.083672,0.099399,,
group2,4096,12,128,8,8,2,2,256,0.083562,0.099904,,
group2,4096,12,128,9,4,2,2,512,0.083731,0.099262,,
group2,4096,12,128,10,2,2,2,1024,0.083813,0.100181,,
group2,4096,12,128,11,1,2,2,2048,0.083448,0.102749,,
group2,4096,12,256,0,2048,2,2,1,0.084200,0.063424,1.050332,1.220074
group2,4096,12,256,1,1024,2,2,2,0.084362,0.100015,,
group2,4096,12,256,2,512,2,2,4,0.084075,0.100202,,
group2,4096,12,256,3,256,2,2,8,0.084169,0.099744,,
group2,4096,12,256,4,128,2,2,16,0.083933,0.100397,,
group2,4096,12,256,5,64,2,2,32,0.083954,0.099554,,
group2,4096,12,256,6,32,2,2,64,0.084169,0.100289,,
group2,4096,12,256,7,16,2,2,128,0.084380,0.099373,,
group2,4096,12,256,8,8,2,2,256,0.084100,0.100260,,
group2,4096,12,256,9,4,2,2,512,0.084318,0.099718,,
group2,4096,12,256,10,2,2,2,1024,0.084016,0.100417,,
group2,4096,12,256,11,1,2,2,2048,0.083652,0.103589,,
group2,4096,12,512,0,2048,2,2,1,0.084687,0.078401,1.046995,1.206444
group2,4096,12,512,1,1024,2,2,2,0.084716,0.099352,,
group2,4096,12,512,2,512,2,2,4,0.084501,0.099159,,
group2,4096,12,512,3,256,2,2,8,0.084588,0.098881,,
group2,4096,12,512,4,128,2,2,16,0.084530,0.099087,,
group2,4096,12,512,5,64,2,2,32,0.084580,0.099055,,
group2,4096,12,512,6,32,2,2,64,0.084506,0.098941,,
group2,4096,12,512,7,16,2,2,128,0.084562,0.099175,,
group2,4096,12,512,8,8,2,2,256,0.084503,0.099056,,
group2,4096,12,512,9,4,2,2,512,0.084628,0.099002,,
group2,4096,12,512,10,2,2,2,1024,0.084520,0.099118,,
group2,4096,12,512,11,1,2,2,2048,0.084562,0.103030,,
group2,4096,12,1024,0,2048,2,2,1,0.156784,0.152923,1.924729,2.232760
group2,4096,12,1024,1,1024,2,2,2,0.159769,0.193710,,
group2,4096,12,1024,2,512,2,2,4,0.158699,0.193756,,
group2,4096,12,1024,3,256,2,2,8,0.158671,0.193838,,
group2,4096,12,1024,4,128,2,2,16,0.158719,0.193943,,
group2,4096,12,1024,5,64,2,2,32,0.158673,0.193549,,
group2,4096,12,1024,6,32,2,2,64,0.158723,0.193666,,
group2,4096,12,1024,7,16,2,2,128,0.158703,0.192415,,
group2,4096,12,1024,8,8,2,2,256,0.158756,0.192579,,
group2,4096,12,1024,9,4,2,2,512,0.158670,0.193998,,
group2,4096,12,1024,10,2,2,2,1024,0.158788,0.194250,,
group2,4096,12,1024,11,1,2,2,2048,0.158711,0.194116,,
group2,4096,12,2048,0,2048,2,2,1,0.305944,0.303281,3.742744,4.527956
group2,4096,12,2048,1,1024,2,2,2,0.309293,0.383685,,
group2,4096,12,2048,2,512,2,2,4,0.308676,0.383682,,
group2,4096,12,2048,3,256,2,2,8,0.308846,0.383733,,
group2,4096,12,2048,4,128,2,2,16,0.308692,0.383755,,
group2,4096,12,2048,5,64,2,2,32,0.308840,0.382590,,
group2,4096,12,2048,6,32,2,2,64,0.308714,0.382683,,
group2,4096,12,2048,7,16,2,2,128,0.308849,0.375555,,
group2,4096,12,2048,8,8,2,2,256,0.308698,0.376163,,
group2,4096,12,2048,9,4,2,2,512,0.308811,0.383356,,
group2,4096,12,2048,10,2,2,2,1024,0.308640,0.383389,,
group2,4096,12,2048,11,1,2,2,2048,0.308888,0.383473,,
group2,4096,12,4096,0,2048,2,2,1,0.604716,0.602179,7.343802,8.950785
group2,4096,12,4096,1,1024,2,2,2,0.606451,0.756287,,
group2,4096,12,4096,2,512,2,2,4,0.606795,0.756269,,
group2,4096,12,4096,3,256,2,2,8,0.606564,0.756252,,
group2,4096,12,4096,4,128,2,2,16,0.606808,0.756204,,
group2,4096,12,4096,5,64,2,2,32,0.606507,0.754107,,
group2,4096,12,4096,6,32,2,2,64,0.606518,0.754077,,
group2,4096,12,4096,7,16,2,2,128,0.606567,0.738379,,
group2,4096,12,4096,8,8,2,2,256,0.606748,0.740656,,
group2,4096,12,4096,9,4,2,2,512,0.606425,0.755135,,
group2,4096,12,4096,10,2,2,2,1024,0.606551,0.755213,,
group2,4096,12,4096,11,1,2,2,2048,0.606555,0.755334,,
