group,N,n,batch_size,stage,a,b,c,d,stage_triton_ms,stage_bmm_ms,total_chain_triton_ms,total_chain_bmm_ms
group2,512,9,1024,4,16,2,2,16,0.083613,0.099819,,
group2,512,9,1024,5,8,2,2,32,0.083355,0.099432,,
group2,512,9,1024,6,4,2,2,64,0.083028,0.099786,,
group2,512,9,1024,7,2,2,2,128,0.083483,0.099495,,
group2,512,9,1024,8,1,2,2,256,0.083092,0.103112,,
group2,512,9,2048,0,256,2,2,1,0.083729,0.063178,0.779232,0.907582
group2,512,9,2048,1,128,2,2,2,0.083510,0.099383,,
group2,512,9,2048,2,64,2,2,4,0.084001,0.100270,,
group2,512,9,2048,3,32,2,2,8,0.083753,0.099493,,
group2,512,9,2048,4,16,2,2,16,0.083897,0.100334,,
group2,512,9,2048,5,8,2,2,32,0.083873,0.099445,,
group2,512,9,2048,6,4,2,2,64,0.083767,0.100174,,
group2,512,9,2048,7,2,2,2,128,0.083717,0.099341,,
group2,512,9,2048,8,1,2,2,256,0.084043,0.103705,,
group2,512,9,4096,0,256,2,2,1,0.083950,0.078212,0.777481,0.909279
group2,512,9,4096,1,128,2,2,2,0.084174,0.100257,,
group2,512,9,4096,2,64,2,2,4,0.083972,0.100641,,
group2,512,9,4096,3,32,2,2,8,0.084042,0.100367,,
group2,512,9,4096,4,16,2,2,16,0.084016,0.100814,,
group2,512,9,4096,5,8,2,2,32,0.084045,0.100437,,
group2,512,9,4096,6,4,2,2,64,0.084011,0.100778,,
group2,512,9,4096,7,2,2,2,128,0.084037,0.100482,,
group2,512,9,4096,8,1,2,2,256,0.084024,0.104396,,
group2,1024,10,2,0,512,2,2,1,0.085523,0.066139,0.896577,1.042336
group2,1024,10,2,1,256,2,2,2,0.085443,0.103312,,
group2,1024,10,2,2,128,2,2,4,0.085830,0.103353,,
group2,1024,10,2,3,64,2,2,8,0.085286,0.103086,,
group2,1024,10,2,4,32,2,2,16,0.085517,0.103351,,
group2,1024,10,2,5,16,2,2,32,0.085076,0.102891,,
group2,1024,10,2,6,8,2,2,64,0.085695,0.103303,,
group2,1024,10,2,7,4,2,2,128,0.085310,0.102887,,
group2,1024,10,2,8,2,2,2,256,0.086196,0.103174,,
group2,1024,10,2,9,1,2,2,512,0.085698,0.106057,,
group2,1024,10,4,0,512,2,2,1,0.086243,0.065394,0.887640,1.042450
group2,1024,10,4,1,256,2,2,2,0.085795,0.102976,,
group2,1024,10,4,2,128,2,2,4,0.085871,0.102882,,
group2,1024,10,4,3,64,2,2,8,0.085769,0.103041,,
group2,1024,10,4,4,32,2,2,16,0.085676,0.103053,,
group2,1024,10,4,5,16,2,2,32,0.085342,0.103219,,
group2,1024,10,4,6,8,2,2,64,0.085397,0.103110,,
group2,1024,10,4,7,4,2,2,128,0.085705,0.102859,,
group2,1024,10,4,8,2,2,2,256,0.085325,0.102563,,
group2,1024,10,4,9,1,2,2,512,0.085627,0.106367,,
group2,1024,10,8,0,512,2,2,1,0.085928,0.065725,0.886505,1.039940
group2,1024,10,8,1,256,2,2,2,0.085648,0.102605,,
group2,1024,10,8,2,128,2,2,4,0.085807,0.102535,,
group2,1024,10,8,3,64,2,2,8,0.085145,0.102322,,
group2,1024,10,8,4,32,2,2,16,0.085618,0.102613,,
group2,1024,10,8,5,16,2,2,32,0.084878,0.102177,,
group2,1024,10,8,6,8,2,2,64,0.085267,0.102916,,
group2,1024,10,8,7,4,2,2,128,0.085496,0.102113,,
group2,1024,10,8,8,2,2,2,256,0.085291,0.102657,,
