group,N,n,batch_size,stage,a,b,c,d,stage_triton_ms,total_chain_triton_ms
group2,512,9,4096,8,1,2,2,256,0.085300,
group2,1024,10,2,0,512,2,2,1,0.037694,0.385211
group2,1024,10,2,1,256,2,2,2,0.037602,
group2,1024,10,2,2,128,2,2,4,0.037322,
group2,1024,10,2,3,64,2,2,8,0.037676,
group2,1024,10,2,4,32,2,2,16,0.037495,
group2,1024,10,2,5,16,2,2,32,0.037547,
group2,1024,10,2,6,8,2,2,64,0.037708,
group2,1024,10,2,7,4,2,2,128,0.037735,
group2,1024,10,2,8,2,2,2,256,0.037726,
group2,1024,10,2,9,1,2,2,512,0.037501,
group2,1024,10,4,0,512,2,2,1,0.037523,0.387195
group2,1024,10,4,1,256,2,2,2,0.037420,
group2,1024,10,4,2,128,2,2,4,0.037335,
group2,1024,10,4,3,64,2,2,8,0.037340,
group2,1024,10,4,4,32,2,2,16,0.037393,
group2,1024,10,4,5,16,2,2,32,0.037446,
group2,1024,10,4,6,8,2,2,64,0.037778,
group2,1024,10,4,7,4,2,2,128,0.037218,
group2,1024,10,4,8,2,2,2,256,0.037374,
group2,1024,10,4,9,1,2,2,512,0.037618,
group2,1024,10,8,0,512,2,2,1,0.037938,0.388282
group2,1024,10,8,1,256,2,2,2,0.037524,
group2,1024,10,8,2,128,2,2,4,0.037729,
group2,1024,10,8,3,64,2,2,8,0.037701,
group2,1024,10,8,4,32,2,2,16,0.037684,
group2,1024,10,8,5,16,2,2,32,0.037427,
group2,1024,10,8,6,8,2,2,64,0.037652,
group2,1024,10,8,7,4,2,2,128,0.037259,
group2,1024,10,8,8,2,2,2,256,0.037967,
group2,1024,10,8,9,1,2,2,512,0.037684,
group2,1024,10,16,0,512,2,2,1,0.038109,0.403989
group2,1024,10,16,1,256,2,2,2,0.037386,
group2,1024,10,16,2,128,2,2,4,0.037641,
group2,1024,10,16,3,64,2,2,8,0.037517,
group2,1024,10,16,4,32,2,2,16,0.037544,
group2,1024,10,16,5,16,2,2,32,0.037387,
group2,1024,10,16,6,8,2,2,64,0.037531,
group2,1024,10,16,7,4,2,2,128,0.037642,
group2,1024,10,16,8,2,2,2,256,0.037449,
