a,b,c,d,batch_size,dim_in,dim_out,dtype,bs_last,warmup,iters,cuda_ms,triton_ms,cuda_error
2,512,64,1,4096,128,1024,float16,False,100,1000,,0.068296,
2,512,64,2,4096,256,2048,float16,False,100,1000,,0.121958,
2,512,64,4,4096,512,4096,float16,False,100,1000,,0.232992,
2,512,128,1,4096,256,1024,float16,False,100,1000,,0.086616,
2,512,128,2,4096,512,2048,float16,False,100,1000,,0.161985,
2,512,128,4,4096,1024,4096,float16,False,100,1000,,0.309673,
2,512,256,1,4096,512,1024,float16,False,100,1000,,0.120851,
2,512,256,2,4096,1024,2048,float16,False,100,1000,,0.232230,
2,512,256,4,4096,2048,4096,float16,False,100,1000,,0.457113,
2,512,512,1,4096,1024,1024,float16,False,100,1000,,0.211062,
2,512,512,2,4096,2048,2048,float16,False,100,1000,,0.379079,
2,512,512,4,4096,4096,4096,float16,False,100,1000,,0.746218,
4,64,64,1,4096,256,256,float16,False,100,1000,,0.066816,
4,64,64,2,4096,512,512,float16,False,100,1000,,0.066870,
4,64,64,4,4096,1024,1024,float16,False,100,1000,,0.090617,
4,64,128,1,4096,512,256,float16,False,100,1000,,0.067281,
4,64,128,2,4096,1024,512,float16,False,100,1000,,0.070422,
4,64,128,4,4096,2048,1024,float16,False,100,1000,,0.139573,
4,64,256,1,4096,1024,256,float16,False,100,1000,,0.065930,
4,64,256,2,4096,2048,512,float16,False,100,1000,,0.120527,
4,64,256,4,4096,4096,1024,float16,False,100,1000,,0.237073,
4,64,512,1,4096,2048,256,float16,False,100,1000,,0.112532,
4,64,512,2,4096,4096,512,float16,False,100,1000,,0.214416,
4,64,512,4,4096,8192,1024,float16,False,100,1000,,0.413983,
4,128,64,1,4096,256,512,float16,False,100,1000,,0.068208,
4,128,64,2,4096,512,1024,float16,False,100,1000,,0.074420,
4,128,64,4,4096,1024,2048,float16,False,100,1000,,0.144907,
4,128,128,1,4096,512,512,float16,False,100,1000,,0.067174,
4,128,128,2,4096,1024,1024,float16,False,100,1000,,0.105290,
4,128,128,4,4096,2048,2048,float16,False,100,1000,,0.205717,
4,128,256,1,4096,1024,512,float16,False,100,1000,,0.086404,
4,128,256,2,4096,2048,1024,float16,False,100,1000,,0.167587,
4,128,256,4,4096,4096,2048,float16,False,100,1000,,0.325230,
4,128,512,1,4096,2048,512,float16,False,100,1000,,0.149497,
4,128,512,2,4096,4096,1024,float16,False,100,1000,,0.291483,
4,128,512,4,4096,8192,2048,float16,False,100,1000,,0.567268,
4,256,64,1,4096,256,1024,float16,False,100,1000,,0.068005,
4,256,64,2,4096,512,2048,float16,False,100,1000,,0.130454,
4,256,64,4,4096,1024,4096,float16,False,100,1000,,0.250623,
4,256,128,1,4096,512,1024,float16,False,100,1000,,0.089620,
4,256,128,2,4096,1024,2048,float16,False,100,1000,,0.172596,
4,256,128,4,4096,2048,4096,float16,False,100,1000,,0.335349,
4,256,256,1,4096,1024,1024,float16,False,100,1000,,0.134551,
4,256,256,2,4096,2048,2048,float16,False,100,1000,,0.261900,
4,256,256,4,4096,4096,4096,float16,False,100,1000,,0.512884,
4,256,512,1,4096,2048,1024,float16,False,100,1000,,0.224288,
4,256,512,2,4096,4096,2048,float16,False,100,1000,,0.435496,
4,256,512,4,4096,8192,4096,float16,False,100,1000,,0.873489,
4,512,64,1,4096,256,2048,float16,False,100,1000,,0.122160,
4,512,64,2,4096,512,4096,float16,False,100,1000,,0.231396,
4,512,64,4,4096,1024,8192,float16,False,100,1000,,0.456174,
4,512,128,1,4096,512,2048,float16,False,100,1000,,0.159809,
4,512,128,2,4096,1024,4096,float16,False,100,1000,,0.303799,
4,512,128,4,4096,2048,8192,float16,False,100,1000,,0.598890,
4,512,256,1,4096,1024,2048,float16,False,100,1000,,0.231031,
4,512,256,2,4096,2048,4096,float16,False,100,1000,,0.450499,
4,512,256,4,4096,4096,8192,float16,False,100,1000,,0.885997,
4,512,512,1,4096,2048,2048,float16,False,100,1000,,0.379988,
4,512,512,2,4096,4096,4096,float16,False,100,1000,,0.739754,
4,512,512,4,4096,8192,8192,float16,False,100,1000,,1.514076,
6,64,64,1,4096,384,384,float16,False,100,1000,,0.066686,
6,64,64,2,4096,768,768,float16,False,100,1000,,0.070795,
6,64,64,4,4096,1536,1536,float16,False,100,1000,,0.132865,
6,64,128,1,4096,768,384,float16,False,100,1000,,0.066729,
6,64,128,2,4096,1536,768,float16,False,100,1000,,0.109658,
6,64,128,4,4096,3072,1536,float16,False,100,1000,,0.201815,
6,64,256,1,4096,1536,384,float16,False,100,1000,,0.092250,
6,64,256,2,4096,3072,768,float16,False,100,1000,,0.188122,
6,64,256,4,4096,6144,1536,float16,False,100,1000,,0.346395,
6,64,512,1,4096,3072,384,float16,False,100,1000,,0.161704,
6,64,512,2,4096,6144,768,float16,False,100,1000,,0.317908,
6,64,512,4,4096,12288,1536,float16,False,100,1000,,0.622287,
6,128,64,1,4096,384,768,float16,False,100,1000,,0.067424,
6,128,64,2,4096,768,1536,float16,False,100,1000,,0.111146,
6,128,64,4,4096,1536,3072,float16,False,100,1000,,0.211500,
6,128,128,1,4096,768,768,float16,False,100,1000,,0.081070,
6,128,128,2,4096,1536,1536,float16,False,100,1000,,0.153467,
6,128,128,4,4096,3072,3072,float16,False,100,1000,,0.302293,
6,128,256,1,4096,1536,768,float16,False,100,1000,,0.128947,
6,128,256,2,4096,3072,1536,float16,False,100,1000,,0.259072,
6,128,256,4,4096,6144,3072,float16,False,100,1000,,0.490223,
6,128,512,1,4096,3072,768,float16,False,100,1000,,0.218738,
6,128,512,2,4096,6144,1536,float16,False,100,1000,,0.438541,
6,128,512,4,4096,12288,3072,float16,False,100,1000,,0.854251,
6,256,64,1,4096,384,1536,float16,False,100,1000,,0.097547,
6,256,64,2,4096,768,3072,float16,False,100,1000,,0.194631,
6,256,64,4,4096,1536,6144,float16,False,100,1000,,0.361703,
6,256,128,1,4096,768,1536,float16,False,100,1000,,0.130934,
6,256,128,2,4096,1536,3072,float16,False,100,1000,,0.255094,
6,256,128,4,4096,3072,6144,float16,False,100,1000,,0.494788,
6,256,256,1,4096,1536,1536,float16,False,100,1000,,0.198234,
6,256,256,2,4096,3072,3072,float16,False,100,1000,,0.412317,
6,256,256,4,4096,6144,6144,float16,False,100,1000,,0.768062,
6,256,512,1,4096,3072,1536,float16,False,100,1000,,0.330174,
6,256,512,2,4096,6144,3072,float16,False,100,1000,,0.679469,
6,256,512,4,4096,12288,6144,float16,False,100,1000,,1.354193,
6,512,64,1,4096,384,3072,float16,False,100,1000,,0.178850,
6,512,64,2,4096,768,6144,float16,False,100,1000,,0.348806,
6,512,64,4,4096,1536,12288,float16,False,100,1000,,0.677847,
6,512,128,1,4096,768,3072,float16,False,100,1000,,0.235141,
6,512,128,2,4096,1536,6144,float16,False,100,1000,,0.446065,
6,512,128,4,4096,3072,12288,float16,False,100,1000,,0.897869,
6,512,256,1,4096,1536,3072,float16,False,100,1000,,0.343394,
6,512,256,2,4096,3072,6144,float16,False,100,1000,,0.710989,
6,512,256,4,4096,6144,12288,float16,False,100,1000,,1.325566,
6,512,512,1,4096,3072,3072,float16,False,100,1000,,0.556671,
6,512,512,2,4096,6144,6144,float16,False,100,1000,,1.177257,
6,512,512,4,4096,12288,12288,float16,False,100,1000,,2.353290,
